entry_ts,exit_ts,dir,entry,exit,entry_price,exit_price,entry_signal_price,exit_signal_price,stop_price,stop_price_initial,stop_price_exit,initial_risk_price,r_value,fees,pnl,win,exit_reason,qty,be_triggered,confidence_mult,regime,_week
2023-01-06 15:30:00,2023-01-06 16:30:00,long,10771.1,10782.795958551738,10771.1,10782.795958551738,10771.1,10782.795958551738,10782.795958551738,10613.779922284508,10782.795958551738,157.32007771549252,0.07434498330778629,0.0,46.51616915601573,True,stop,3.977114740125663,False,1.32,bull,2023-01-02/2023-01-08
2023-01-06 17:00:00,2023-01-06 21:10:00,long,10758.8,11007.755287559456,10758.8,11007.755287559456,10758.8,11007.755287559456,10920.864497411505,10567.295932646572,10920.864497411505,191.50406735342767,1.300000000000002,0.0,817.167550773281,True,tp,3.2823868044100983,True,1.32,bull,2023-01-02/2023-01-08
2023-01-10 15:50:00,2023-01-10 16:30:00,long,11042.7,11081.841263675067,11042.7,11081.841263675067,11042.7,11081.841263675067,11081.841263675067,10892.964869390751,11081.841263675067,149.7351306092496,0.2614033427947512,0.0,201.91001032521035,True,stop,5.15849493264648,False,1.5,bull,2023-01-09/2023-01-15
2023-01-10 17:40:00,2023-01-11 16:30:00,long,11053.8,11265.58358048642,11053.8,11265.58358048642,11053.8,11265.58358048642,11161.114428518391,10890.889553471983,11161.114428518391,162.9104465280161,1.299999999999999,0.0,1022.792828487423,True,tp,4.829424576439262,True,1.5,bull,2023-01-09/2023-01-15
2023-01-18 17:15:00,2023-01-18 20:05:00,short,11623.0,11432.449777250871,11623.0,11432.449777250871,11623.0,11432.449777250871,11500.474450358615,11769.577094422406,11500.474450358615,146.57709442240593,1.3000000000000076,0.0,279.33239240613074,True,tp,1.4659252997772096,True,0.75,bull,2023-01-16/2023-01-22
2023-01-18 20:40:00,2023-01-19 02:05:00,long,11455.4,11399.410143022531,11455.4,11399.410143022531,11455.4,11399.410143022531,11399.410143022531,11313.106518167247,11399.410143022531,142.29348183275215,-0.3934815302592539,0.0,-144.16914349440563,False,stop,2.5749153735545693,False,0.75,bull,2023-01-16/2023-01-22
2023-01-20 13:00:00,2023-01-20 16:35:00,long,11334.8,11321.73480455435,11334.8,11321.73480455435,11334.8,11321.73480455435,11321.73480455435,11226.490258539405,11321.73480455435,108.30974146059452,-0.12062807342590891,0.0,-43.68215918779091,False,stop,3.3433988316137544,False,0.75,bull,2023-01-16/2023-01-22
2023-01-20 18:00:00,2023-01-20 22:10:00,long,11433.6,11600.270975378939,11433.6,11600.270975378939,11433.6,11600.270975378939,11542.522163947102,11305.391557400817,11542.522163947102,128.2084425991834,1.2999999999999985,0.0,469.0771528115411,True,tp,2.8143901584847697,True,0.75,bull,2023-01-16/2023-01-22
2023-01-25 13:00:00,2023-01-25 18:10:00,short,11703.3,11629.539404935647,11703.3,11629.539404935647,11703.3,11629.539404935647,11629.539404935647,11837.623884254339,11629.539404935647,134.32388425433965,0.5491249413595553,0.0,205.77083801575307,True,stop,2.789712282503004,True,1.5,bull,2023-01-23/2023-01-29
2023-01-25 18:10:00,2023-01-25 20:25:00,short,11644.2,11747.082150944228,11644.2,11747.082150944228,11644.2,11747.082150944228,11747.082150944228,11797.354033020429,11747.082150944228,153.15403302042796,-0.6717560675043089,0.0,-255.81878434210466,False,stop,2.486522511380848,False,1.5,bull,2023-01-23/2023-01-29
